[SQL Injection] IP: 192.168.1.5 | Time: 28/May/2026:10:15:22 | Payload: OR 1=1
[XSS Attack] IP: 192.168.1.7 | Time: 28/May/2026:10:16:01 | Payload: <script>
[XSS Attack] IP: 192.168.1.7 | Time: 28/May/2026:10:16:01 | Payload: alert(
[SQL Injection] IP: 192.168.1.10 | Time: 28/May/2026:10:18:20 | Payload: '--
[Directory Traversal] IP: 192.168.1.20 | Time: 28/May/2026:10:25:11 | Payload: ../
[Directory Traversal] IP: 192.168.1.20 | Time: 28/May/2026:10:25:11 | Payload: /etc/passwd
[SQL Injection] IP: 192.168.1.5 | Time: 28/May/2026:10:15:22 | Payload: OR 1=1
[XSS Attack] IP: 192.168.1.7 | Time: 28/May/2026:10:16:01 | Payload: <script>
[XSS Attack] IP: 192.168.1.7 | Time: 28/May/2026:10:16:01 | Payload: alert(
[SQL Injection] IP: 192.168.1.10 | Time: 28/May/2026:10:18:20 | Payload: '--
[Directory Traversal] IP: 192.168.1.20 | Time: 28/May/2026:10:25:11 | Payload: ../
[Directory Traversal] IP: 192.168.1.20 | Time: 28/May/2026:10:25:11 | Payload: /etc/passwd
[XSS Attack] IP: 192.168.1.30 | Time: 28/May/2026:11:00:00 | Payload: <script>
[XSS Attack] IP: 192.168.1.30 | Time: 28/May/2026:11:00:00 | Payload: alert(
[XSS Attack] IP: 192.168.1.50 | Time: 28/May/2026:12:00:00 | Payload: <script>
[XSS Attack] IP: 192.168.1.50 | Time: 28/May/2026:12:00:00 | Payload: alert(
